player_id,Name,Position_24,OVR_24,Age_24,Height_24,Weight_24,Team_24,League_24,Nation_24,Preferred foot_24,Weak foot_24,Skill moves_24,PAC_24,SHO_24,PAS_24,DRI_24,DEF_24,PHY_24,Crossing_24,Finishing_24,Heading Accuracy_24,Short Passing_24,Volleys_24,Dribbling_24,Curve_24,Free Kick Accuracy_24,Long Passing_24,Ball Control_24,Acceleration_24,Sprint Speed_24,Agility_24,Reactions_24,Balance_24,Shot Power_24,Jumping_24,Stamina_24,Strength_24,Long Shots_24,Aggression_24,Interceptions_24,Positioning_24,Vision_24,Penalties_24,Composure_24,Def Awareness_24,Standing Tackle_24,Sliding Tackle_24,GK Diving_24,GK Handling_24,GK Kicking_24,GK Positioning_24,GK Reflexes_24,OVR_25,PAC_25,SHO_25,PAS_25,DRI_25,DEF_25,PHY_25,Acceleration_25,Sprint Speed_25,Positioning_25,Finishing_25,Shot Power_25,Long Shots_25,Volleys_25,Penalties_25,Vision_25,Crossing_25,Free Kick Accuracy_25,Short Passing_25,Long Passing_25,Curve_25,Dribbling_25,Agility_25,Balance_25,Reactions_25,Ball Control_25,Composure_25,Interceptions_25,Heading Accuracy_25,Def Awareness_25,Standing Tackle_25,Sliding Tackle_25,Jumping_25,Stamina_25,Strength_25,Aggression_25,Position_25,Weak foot_25,Skill moves_25,Preferred foot_25,Height_25,Weight_25,Age_25,Nation_25,League_25,Team_25,GK Diving_25,GK Handling_25,GK Kicking_25,GK Positioning_25,GK Reflexes_25
231747,K. Mbappé,"ST, LW",91,24,182,75,Paris Saint Germain,Ligue 1,France,Right,4,5,97.0,90.0,80.0,92.0,36.0,78.0,78,94,73,86,84,93,80,69,71,92,97,97,93,93,82,90,88,88,77,83,64,38,93,83,84,88.0,26,34,32,13,5,7,11,6,91,97,90,80,92,36,78,97,97,93,94,90,83,84,84,83,78,69,86,71,80,93,93,82,93,92,88,38,73,26,34,32,88,88,77,64,ST,4,5,Right,"182cm / 6'0""",75kg / 165lb,25,France,La Liga,Real Madrid,,,,,
239085,E. Haaland,ST,91,22,195,94,Manchester City,Premier League,Norway,Left,3,3,89.0,93.0,66.0,80.0,45.0,88.0,47,96,83,77,90,79,77,62,53,82,82,94,76,94,72,94,93,76,93,86,87,43,96,74,84,87.0,38,47,29,7,14,13,11,7,91,88,92,70,81,45,88,80,94,96,96,94,83,90,90,74,58,62,77,66,77,79,77,69,94,83,87,43,83,38,47,29,92,76,93,88,ST,3,3,Left,"195cm / 6'5""",94kg / 207lb,24,Norway,Premier League,Manchester City,,,,,
192985,K. De Bruyne,"CM, CAM",91,32,181,75,Manchester City,Premier League,Belgium,Right,5,4,72.0,88.0,94.0,87.0,65.0,78.0,95,85,55,94,83,86,92,83,94,92,72,72,74,92,78,92,72,88,74,92,75,66,88,95,83,88.0,66,70,53,15,13,5,10,13,90,67,87,94,87,65,78,67,67,88,84,92,90,83,83,95,95,83,94,93,93,86,75,78,92,92,88,66,55,66,70,53,71,88,75,75,CM,5,4,Right,"181cm / 5'11""",75kg / 165lb,33,Belgium,Premier League,Manchester City,,,,,
188545,R. Lewandowski,ST,90,34,185,81,FC Barcelona,La Liga,Poland,Right,4,4,75.0,91.0,80.0,87.0,44.0,84.0,76,93,91,84,89,86,79,85,70,90,76,75,77,93,83,91,92,76,89,84,81,49,94,81,90,88.0,35,42,19,15,6,12,8,10,88,75,88,79,86,44,84,76,75,90,90,89,82,86,90,81,76,84,84,70,79,85,77,83,89,90,87,49,88,35,42,19,92,76,89,81,ST,4,4,Right,"185cm / 6'1""",81kg / 179lb,36,Poland,La Liga,FC Barcelona,,,,,
192119,T. Courtois,GK,90,31,199,96,Real Madrid,La Liga,Belgium,Left,3,1,,,,,,,14,14,13,33,12,13,19,20,35,23,42,52,63,88,45,57,68,38,70,17,23,15,13,44,27,66.0,20,18,16,85,89,76,90,93,89,85,89,76,90,46,88,42,52,13,14,57,17,12,27,44,14,20,33,35,19,13,63,45,88,23,66,15,13,20,18,16,68,38,70,23,GK,3,1,Left,"200cm / 6'7""",96kg / 212lb,32,Belgium,La Liga,Real Madrid,85.0,89.0,76.0,88.0,90.0
202126,H. Kane,ST,90,29,188,85,FC Bayern München,Bundesliga,England,Right,5,3,69.0,93.0,84.0,83.0,49.0,83.0,80,95,89,87,89,82,82,65,88,87,67,71,66,93,73,93,87,83,84,87,80,42,94,87,92,92.0,46,46,38,8,10,11,14,11,90,65,93,84,83,49,82,64,66,94,95,94,89,89,93,86,80,69,86,88,82,82,66,73,94,87,92,42,91,46,46,38,87,75,86,80,ST,4,3,Right,"188cm / 6'2""",86kg / 190lb,31,England,Bundesliga,FC Bayern München,,,,,
238794,Vini Jr.,LW,89,22,176,73,Real Madrid,La Liga,Brazil,Right,4,5,95.0,82.0,78.0,90.0,29.0,68.0,78,89,50,80,72,92,77,62,77,90,95,95,94,86,84,76,74,84,64,80,58,26,87,81,65,79.0,32,25,18,5,7,7,7,10,90,95,84,81,91,29,69,95,95,87,89,81,83,73,71,85,81,62,83,77,79,93,94,84,86,90,83,26,50,32,25,18,74,84,65,58,LW,4,5,Right,"176cm / 5'9""",73kg / 161lb,24,Brazil,La Liga,Real Madrid,,,,,
212831,Alisson,GK,89,30,193,91,Liverpool,Premier League,Brazil,Right,3,1,,,,,,,17,13,29,60,20,27,19,18,58,42,60,49,40,87,37,64,82,32,78,14,27,11,13,66,23,66.0,15,19,16,86,85,85,90,89,89,86,85,85,89,56,90,60,49,13,13,64,14,20,23,66,17,18,60,58,19,27,40,37,87,42,66,11,29,15,19,16,82,32,78,27,GK,3,1,Right,"193cm / 6'4""",91kg / 201lb,31,Brazil,Premier League,Liverpool,86.0,85.0,85.0,90.0,89.0
231866,Rodri,"CDM, CM",89,27,191,82,Manchester City,Premier League,Spain,Right,4,3,58.0,73.0,80.0,80.0,85.0,84.0,63,64,81,89,59,79,65,61,90,88,54,62,65,89,64,91,80,89,83,82,83,84,75,82,62,85.0,88,87,78,10,10,7,14,8,91,66,80,86,84,87,85,65,66,76,74,92,89,71,62,84,76,64,93,91,86,84,66,67,93,90,94,84,81,92,87,82,83,91,83,85,CDM,4,3,Right,"191cm / 6'3""",82kg / 181lb,28,Spain,Premier League,Manchester City,,,,,
239818,Rúben Dias,CB,89,26,187,82,Manchester City,Premier League,Portugal,Right,4,2,62.0,39.0,66.0,69.0,89.0,87.0,54,29,87,83,32,64,46,48,76,75,54,69,60,89,56,74,84,78,90,26,93,86,39,51,45,81.0,91,91,87,7,8,13,7,12,88,67,39,70,69,89,87,65,68,39,29,74,26,32,45,64,54,48,85,81,46,64,62,56,89,75,86,87,87,90,90,87,88,78,90,88,CB,4,2,Right,"187cm / 6'2""",82kg / 181lb,27,Portugal,Premier League,Manchester City,,,,,
192448,M. ter Stegen,GK,89,31,187,85,FC Barcelona,La Liga,Germany,Right,4,1,,,,,,,18,14,11,61,14,21,18,12,63,30,45,50,39,85,43,67,72,35,78,10,43,22,11,70,25,70.0,25,13,10,86,85,89,86,91,89,86,85,89,91,47,86,45,50,11,14,67,10,14,25,70,18,12,61,63,18,21,39,43,85,30,70,22,11,25,13,10,72,35,78,43,GK,4,1,Right,"187cm / 6'2""",85kg / 187lb,32,Germany,La Liga,FC Barcelona,86.0,85.0,89.0,86.0,91.0
200145,Casemiro,CDM,89,31,185,84,Manchester United,Premier League,Brazil,Right,3,2,63.0,75.0,79.0,73.0,89.0,88.0,68,69,84,84,68,69,77,74,85,79,60,66,61,90,65,88,85,88,88,81,91,89,77,79,66,85.0,90,89,88,13,14,16,12,12,84,38,74,77,69,82,82,35,40,71,69,82,78,77,66,77,68,70,83,81,75,68,48,51,83,77,79,82,80,81,84,83,75,73,84,91,CDM,3,2,Right,"185cm / 6'1""",84kg / 185lb,32,Brazil,Premier League,Man Utd,,,,,
203376,V. van Dijk,CB,89,31,193,92,Liverpool,Premier League,Netherlands,Right,3,2,78.0,60.0,71.0,72.0,89.0,86.0,53,52,86,79,45,70,60,70,86,76,66,87,59,88,50,81,89,72,93,64,85,88,47,65,62,89.0,90,91,86,13,10,13,11,11,89,78,60,71,71,89,86,66,87,47,52,81,64,45,62,67,53,70,80,86,60,70,54,50,88,77,90,88,87,90,91,86,89,72,93,85,CB,3,2,Right,"193cm / 6'4""",92kg / 203lb,33,Holland,Premier League,Liverpool,,,,,
209331,M. Salah,RW,89,31,175,71,Liverpool,Premier League,Egypt,Left,3,4,89.0,87.0,81.0,88.0,45.0,76.0,80,92,59,84,83,88,84,69,77,86,89,89,89,93,91,82,80,87,75,84,63,55,92,84,81,90.0,38,43,41,14,14,9,11,14,89,89,87,82,88,45,75,89,89,92,90,82,84,83,81,85,80,69,86,77,84,88,89,91,93,86,88,55,59,38,43,41,79,87,73,63,RW,3,4,Left,"175cm / 5'9""",72kg / 159lb,32,Egypt,Premier League,Liverpool,,,,,
239053,F. Valverde,"CM, RW",88,24,182,78,Real Madrid,La Liga,Uruguay,Right,4,3,88.0,82.0,84.0,84.0,80.0,82.0,78,79,59,87,70,83,74,69,88,88,84,91,77,89,68,89,80,89,80,87,81,83,86,86,59,84.0,79,85,79,6,10,6,15,8,88,88,82,84,84,80,84,84,91,86,78,91,87,74,59,86,78,69,87,88,74,83,77,68,89,88,84,83,63,79,85,80,83,92,82,81,CM,4,3,Right,"182cm / 6'0""",78kg / 172lb,26,Uruguay,La Liga,Real Madrid,,,,,
232293,V. Osimhen,ST,88,24,185,78,Napoli,Serie A,Nigeria,Right,4,3,90.0,86.0,66.0,83.0,42.0,82.0,62,91,84,74,83,83,63,52,54,86,87,92,78,89,68,86,94,81,86,77,68,34,90,70,75,80.0,36,45,22,14,14,10,9,6,87,89,84,65,81,42,82,85,92,92,88,86,74,83,75,70,62,52,72,54,63,80,78,67,89,84,80,34,86,36,45,22,94,81,86,68,ST,4,3,Right,"186cm / 6'1""",77kg / 170lb,25,Nigeria,Serie A,SSC Napoli,,,,,
210257,Ederson,GK,88,29,188,86,Manchester City,Premier League,Brazil,Left,3,1,,,,,,,20,14,14,61,18,23,15,20,65,40,64,63,60,87,48,68,79,44,78,18,38,27,20,70,51,70.0,29,15,8,86,82,91,86,86,88,87,82,91,87,64,86,64,63,20,14,68,18,18,65,70,20,20,65,68,39,30,60,48,88,45,70,27,14,29,15,8,79,44,78,38,GK,3,1,Left,"188cm / 6'2""",86kg / 190lb,31,Brazil,Premier League,Manchester City,87.0,82.0,91.0,86.0,87.0
212622,J. Kimmich,"CDM, RB, CM",88,28,177,75,FC Bayern München,Bundesliga,Germany,Right,4,3,70.0,74.0,88.0,84.0,82.0,79.0,91,68,72,88,69,82,85,76,91,85,77,65,84,88,84,78,78,94,68,83,88,85,80,85,69,86.0,82,84,78,8,15,7,15,15,86,69,74,88,84,81,77,77,62,78,68,78,83,69,69,85,91,79,88,91,85,82,83,84,88,85,86,85,72,81,82,83,79,88,68,86,RB,4,3,Right,"177cm / 5'10""",75kg / 165lb,29,Germany,Bundesliga,FC Bayern München,,,,,
194765,A. Griezmann,"ST, CF",88,32,176,73,Atlético Madrid,La Liga,France,Left,3,4,80.0,88.0,87.0,88.0,58.0,75.0,82,90,85,89,85,88,89,85,86,89,80,80,89,90,84,85,85,86,69,87,74,57,90,88,79,89.0,45,63,60,14,8,14,13,14,88,80,88,87,89,59,75,81,80,90,90,85,87,86,79,88,82,85,89,86,89,88,89,84,90,91,89,59,85,45,63,64,85,86,69,74,ST,3,4,Left,"176cm / 5'9""",73kg / 161lb,33,France,La Liga,Atlético de Madrid,,,,,
200389,J. Oblak,GK,88,30,188,87,Atlético Madrid,La Liga,Slovenia,Right,3,1,,,,,,,13,11,15,43,13,12,13,14,40,30,42,53,64,85,48,59,72,42,78,12,36,24,11,67,11,68.0,27,14,18,85,90,78,86,87,88,85,90,78,87,46,86,42,53,11,11,59,12,13,11,67,13,14,43,40,13,12,64,48,85,30,68,24,15,27,14,18,72,42,78,36,GK,3,1,Right,"188cm / 6'2""",87kg / 192lb,31,Slovenia,La Liga,Atlético de Madrid,85.0,90.0,78.0,86.0,87.0
212198,Bruno Fernandes,"CAM, CM",88,28,179,69,Manchester United,Premier League,Portugal,Right,3,4,71.0,86.0,90.0,83.0,69.0,77.0,87,83,66,90,87,81,86,85,92,88,74,68,78,91,79,88,73,95,66,88,84,66,88,94,90,82.0,69,74,65,12,14,15,8,14,87,70,85,88,83,65,75,72,68,87,84,86,85,87,90,94,82,82,89,90,85,83,78,76,90,86,79,63,63,62,71,66,70,95,61,84,CAM,3,4,Right,"179cm / 5'10""",69kg / 152lb,30,Portugal,Premier League,Man Utd,,,,,
218667,Bernardo Silva,"CM, RW",88,28,173,64,Manchester City,Premier League,Portugal,Left,3,4,69.0,78.0,86.0,92.0,70.0,69.0,84,78,54,91,78,92,84,67,82,91,78,61,95,89,92,79,66,93,54,79,78,73,85,87,68,89.0,70,76,60,9,10,14,12,9,88,75,78,86,92,71,69,83,69,85,78,79,79,78,64,87,84,67,91,82,84,93,95,92,89,92,89,73,54,70,76,68,68,93,54,78,CM,3,4,Left,"173cm / 5'8""",64kg / 141lb,30,Portugal,Premier League,Manchester City,,,,,
222665,M. Ødegaard,"CAM, CM",87,24,178,68,Arsenal,Premier League,Norway,Left,2,5,72.0,81.0,88.0,87.0,61.0,64.0,85,82,55,90,79,86,83,85,87,89,74,71,85,84,82,82,66,81,56,83,64,66,83,89,63,86.0,67,55,54,14,15,15,8,10,89,70,82,89,89,67,66,72,69,84,83,82,84,79,68,91,86,85,91,89,84,89,85,83,91,91,87,69,55,68,72,57,66,88,56,64,CM,2,5,Left,"178cm / 5'10""",68kg / 150lb,25,Norway,Premier League,Arsenal,,,,,
228702,F. de Jong,"CM, CDM",87,26,181,74,FC Barcelona,La Liga,Netherlands,Right,3,4,82.0,69.0,86.0,87.0,77.0,78.0,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,82,89,74,66,74,82,77,88,53,90.0,76,76,77,7,13,10,10,9,87,82,69,86,87,77,78,80,83,77,72,68,66,70,53,88,78,64,91,89,84,87,87,79,88,89,90,82,72,76,76,77,82,89,74,74,CM,3,4,Right,"181cm / 5'11""",74kg / 163lb,27,Holland,La Liga,FC Barcelona,,,,,
230621,G. Donnarumma,GK,87,24,196,90,Paris Saint Germain,Ligue 1,Italy,Right,3,1,,,,,,,12,12,12,36,8,28,12,14,34,30,50,55,64,84,38,59,71,34,72,18,30,26,14,60,24,65.0,20,14,16,90,82,79,83,89,89,90,84,73,90,52,87,50,55,14,12,55,18,8,24,60,12,14,36,34,12,28,57,38,84,30,65,26,12,21,14,16,73,41,75,30,GK,3,1,Right,"196cm / 6'5""",90kg / 198lb,25,Italy,Ligue 1,Paris SG,90.0,84.0,73.0,87.0,90.0
231478,L. Martínez,ST,87,25,174,72,Inter,Serie A,Argentina,Right,4,4,80.0,86.0,71.0,85.0,48.0,85.0,58,90,86,75,91,84,78,54,73,86,83,77,86,88,89,85,93,80,84,78,90,45,90,78,74,86.0,55,31,44,11,8,8,8,13,89,82,88,75,87,54,85,84,80,92,93,87,80,92,74,79,68,65,79,73,80,85,89,92,92,89,88,48,86,55,51,44,93,83,85,87,ST,4,4,Right,"174cm / 5'9""",72kg / 159lb,27,Argentina,Serie A,Lombardia FC,,,,,
235073,G. Kobel,GK,87,25,195,88,Borussia Dortmund,Bundesliga,Switzerland,Right,3,1,,,,,,,13,10,13,39,10,24,13,12,33,34,38,52,37,85,29,56,71,30,81,10,24,14,10,59,12,66.0,15,15,15,86,84,74,85,89,88,87,86,73,89,44,87,38,52,10,10,55,10,10,12,59,13,12,39,33,13,24,37,29,86,34,66,14,13,15,15,15,71,30,81,24,GK,3,1,Right,"195cm / 6'5""",88kg / 194lb,26,Switzerland,Bundesliga,Borussia Dortmund,87.0,86.0,73.0,87.0,89.0
215698,M. Maignan,GK,87,27,191,89,Milan,Serie A,France,Right,4,1,,,,,,,18,15,17,65,16,31,38,16,61,40,50,53,41,85,56,65,75,39,78,20,35,25,15,65,15,68.0,23,16,19,85,82,87,85,89,87,84,83,85,88,64,84,65,62,15,15,64,20,16,15,65,18,16,64,61,38,30,60,56,85,40,68,25,17,23,16,19,82,39,83,35,GK,4,1,Right,"191cm / 6'3""",89kg / 196lb,29,France,Serie A,Milano FC,84.0,83.0,85.0,84.0,88.0
207865,Marquinhos,CB,87,29,183,75,Paris Saint Germain,Ligue 1,Brazil,Right,3,3,78.0,56.0,75.0,74.0,89.0,80.0,68,59,88,84,35,69,58,32,85,79,76,80,68,86,67,65,89,83,78,45,81,89,70,76,52,86.0,90,89,88,6,6,12,10,13,87,79,56,75,74,89,81,76,81,70,59,65,45,35,52,76,68,32,84,85,58,69,68,67,86,79,86,89,88,90,89,88,89,83,79,81,CB,3,3,Right,"183cm / 6'0""",75kg / 165lb,30,Brazil,Ligue 1,Paris SG,,,,,
167495,M. Neuer,GK,87,37,193,93,FC Bayern München,Bundesliga,Germany,Right,4,1,,,,,,,15,13,25,60,11,30,14,11,68,46,48,50,51,84,35,68,77,43,80,16,29,30,12,70,47,70.0,17,10,11,84,85,90,88,84,86,83,81,90,83,49,88,48,50,12,13,68,16,11,49,70,15,11,60,68,14,30,51,35,84,44,70,30,25,17,10,11,77,43,80,29,GK,4,1,Right,"193cm / 6'4""",93kg / 205lb,38,Germany,Bundesliga,FC Bayern München,83.0,81.0,90.0,88.0,83.0
